model_type,max_train_rows,model_rmse,baseline_rmse,n_valid_rows,n_valid_wells,n_train_rows,feature_set
random_forest_v2,500000,28.89002345922362,82.50486875044429,477484.0,93.0,500000.0,v2
extra_trees_v2,500000,30.206070130932876,82.50486875044429,477484.0,93.0,500000.0,v2
hist_gradient_boosting_v2,500000,33.031500977398416,82.50486875044429,477484.0,93.0,500000.0,v2
lightgbm_v2,500000,35.18667653075043,82.50486875044429,477484.0,93.0,500000.0,v2
xgboost_v2,500000,50.24264012216666,82.50486875044429,477484.0,93.0,500000.0,v2
catboost_v2,500000,40.4713742141746,82.50486875044429,477484.0,93.0,500000.0,v2
