model_type,max_train_rows,model_rmse,baseline_rmse,n_valid_rows,n_valid_wells
random_forest,1000000,26.583029300961424,82.50486875044429,477484.0,93.0
extra_trees,1000000,28.82212199418179,82.50486875044429,477484.0,93.0
hist_gradient_boosting,1000000,36.46139684739866,82.50486875044429,477484.0,93.0
lightgbm,1000000,32.88591195231348,82.50486875044429,477484.0,93.0
xgboost,1000000,52.38492302038714,82.50486875044429,477484.0,93.0
catboost,1000000,30.591056109136705,82.50486875044429,477484.0,93.0
