model_type,max_train_rows,model_rmse,baseline_rmse,n_valid_rows,n_valid_wells,n_train_rows,feature_set
extra_trees_v2,10000000,23.08294261699488,82.50486875044429,477484.0,93.0,3306505.0,v2
catboost_v2,10000000,21.925915313974112,82.50486875044429,477484.0,93.0,3306505.0,v2
lightgbm_v2,10000000,24.58224432737231,82.50486875044429,477484.0,93.0,3306505.0,v2
