model_type,max_train_rows,model_rmse,baseline_rmse,n_valid_rows,n_valid_wells,n_train_rows,feature_set
random_forest_v2,1000000,27.546022700466843,82.50486875044429,477484.0,93.0,1000000.0,v2
extra_trees_v2,1000000,26.977264012529748,82.50486875044429,477484.0,93.0,1000000.0,v2
hist_gradient_boosting_v2,1000000,36.13372964798766,82.50486875044429,477484.0,93.0,1000000.0,v2
lightgbm_v2,1000000,30.12801551241246,82.50486875044429,477484.0,93.0,1000000.0,v2
xgboost_v2,1000000,53.02665372513354,82.50486875044429,477484.0,93.0,1000000.0,v2
catboost_v2,1000000,29.85468531461555,82.50486875044429,477484.0,93.0,1000000.0,v2
