model_type,max_train_rows,model_rmse,baseline_rmse,n_valid_rows,n_valid_wells,n_train_rows
lightgbm,10000000,23.749944385408742,82.50486875044429,477484.0,93.0,3306505.0
catboost,10000000,23.446224124483745,82.50486875044429,477484.0,93.0,3306505.0
