model_type,max_train_rows,model_rmse,baseline_rmse,n_valid_rows,n_valid_wells,n_train_rows
lightgbm,3000000,17.09969995615344,107.89849060565514,755491.0,154.0,3000000.0
lightgbm,3000000,17.374427179696433,107.89849060565514,755491.0,154.0,3000000.0
lightgbm,3000000,17.744789260958466,107.89849060565514,755491.0,154.0,3000000.0
lightgbm,3000000,17.24972840268927,107.89849060565514,755491.0,154.0,3000000.0
lightgbm,3000000,16.71725264853768,107.89849060565514,755491.0,154.0,3000000.0
lightgbm,3000000,16.710475014751694,107.89849060565514,755491.0,154.0,3000000.0
lightgbm,3000000,16.736525380926917,107.89849060565514,755491.0,154.0,3000000.0
lightgbm,3000000,16.60666116124342,107.89849060565514,755491.0,154.0,3000000.0
lightgbm,3000000,16.59600757044671,107.89849060565514,755491.0,154.0,3000000.0
lightgbm,3000000,16.821300704849314,107.89849060565514,755491.0,154.0,3000000.0
lightgbm,3000000,16.764505786377203,107.89849060565514,755491.0,154.0,3000000.0
lightgbm,3000000,17.15848150700454,107.89849060565514,755491.0,154.0,3000000.0
lightgbm,3000000,17.040949323618523,107.89849060565514,755491.0,154.0,3000000.0
lightgbm,3000000,16.770191815162818,107.89849060565514,755491.0,154.0,3000000.0
lightgbm,3000000,16.76512226616569,107.89849060565514,755491.0,154.0,3000000.0
lightgbm,3000000,16.898476377382096,107.89849060565514,755491.0,154.0,3000000.0
lightgbm,3000000,16.59600757044671,107.89849060565514,755491.0,154.0,3000000.0
