model_type,max_train_rows,model_rmse,baseline_rmse,n_valid_rows,n_valid_wells
catboost,3000000,21.266724675692203,82.50486875044429,477484.0,93.0
lightgbm,3000000,19.68102671921772,82.50486875044429,477484.0,93.0
extra_trees,3000000,23.645315239905127,82.50486875044429,477484.0,93.0
